"Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Date","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit"
"Intel® Pentium® Processor 2000 Series","Mobile","2020M","Launched",2012,22,134,2,2,2.4,3.3,2,2,35,FALSE,TRUE,32,"DDR3/L/-RS 1333/1600",2,25.6,FALSE,650,1100,8,"eDP/DP/HDMI/SDVO/CRT",NA,NA,NA,FALSE,"2","1x16, 2x8, 1x8 2x4",1,90,FALSE,"Yes",TRUE,"64-bit","SSE4.x",TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile","773","End of Interactive Support",2013,90,303,1,4,1.3,3.3,2,3.2,5.5,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,FALSE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 3000 Series","Mobile","3825U","Launched",2015,14,161,2,4,1.9,3.3,2,2,15,FALSE,TRUE,16,"DDR3L 1333/1600 LPDDR3 1333/1600",2,25.6,FALSE,300,850,8,"eDP/DP/HDMI",NA,NA,NA,TRUE,"2","4x1 2x4",12,105,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 4000 Series","Mobile","4405U","Launched",2015,14,161,2,4,2.1,3.3,2,4,15,FALSE,TRUE,32,"DDR4-1866/2133, LPDDR3-1600/1866",2,34.1,FALSE,300,950,32,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"2","1x4, 2x2, 1x2+2x1 and 4x1",10,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor N Series","Mobile","N3710","Launched",2016,14,161,4,4,1.6,3.3,2,4,6,TRUE,TRUE,8,"DDR3L-1600",2,25.6,FALSE,400,1050,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","1x4/2x2/1x2 + 2x1/4x1",4,90,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Quark™ SE C1000 Microcontroller Series","Embedded","C1000","Launched",2015,32,7.75,1,1,0.032,3.3,0.0078125,4,47,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,83,TRUE,NA,TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor J Series","Desktop","J2850","Launched",2013,22,94,4,4,2.41,3.3,2,4,10,FALSE,TRUE,8,"DDR3L 1333",2,25.6,FALSE,688,854,8,NA,NA,NA,NA,FALSE,"2","X4, X2, X1",4,100,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor J Series","Desktop","J2900","Launched",2013,22,94,4,4,2.41,3.3,2,4,10,FALSE,TRUE,8,"DDR3L 1333",2,21.3,FALSE,688,896,8,NA,NA,NA,NA,TRUE,"2","X4, X2, X1",4,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor J Series","Desktop","J3710","Launched",2016,14,303,4,4,1.6,3.3,2,4,6.5,FALSE,TRUE,8,"DDR3L-1600",2,25.6,FALSE,400,1050,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","1x4/2x2/1x2 + 2x1/4x1",4,90,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor J Series","Desktop","J4205","Launched",2013,14,161,4,4,1.5,3.3,2,4,10,FALSE,TRUE,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",2,25.6,FALSE,250,1050,8,"eDP/DP/HDMI/MIPI-DSI",NA,NA,NA,FALSE,"2","1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2",6,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor N Series","Mobile","N3700","Launched",2015,14,161,4,4,1.6,3.3,2,4,6,FALSE,TRUE,8,"DDR3L-1600",2,25.6,FALSE,400,1050,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","1x4/2x2/1x2 + 2x1/4x1",4,90,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor N Series","Mobile","N3510","Launched",2013,22,303,4,4,2,3.3,2,4,7.5,FALSE,TRUE,8,"DDR3L 1333",2,25.6,FALSE,313,750,8,NA,NA,NA,NA,FALSE,"2","1x4",4,100,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor N Series","Mobile","N3520","Launched",2013,22,161,4,4,2.17,3.3,2,4,7.5,FALSE,TRUE,8,"DDR3L 1333",2,25.6,FALSE,313,854,8,NA,NA,NA,NA,FALSE,"2",NA,4,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor N Series","Mobile","N3530","Launched",2014,22,161,4,4,2.16,3.3,2,4,7.5,FALSE,TRUE,8,"DDR3L 1333",2,25.6,FALSE,313,896,8,NA,NA,NA,NA,FALSE,"2","1x4",4,100,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor N Series","Mobile","N3540","Launched",2014,22,161,4,4,2.16,3.3,2,4,7.5,FALSE,TRUE,8,"DDR3L 1333",2,21.32,FALSE,313,896,8,NA,NA,NA,NA,TRUE,"2","1x4",4,100,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor N Series","Mobile","N4200","Launched",2016,14,161,4,4,1.1,3.3,2,4,6,TRUE,TRUE,8,"DDR3L/LPDDR3 up to 1866 MT/s; ,LPDDR4 up to 2400 MT/s",2,25.6,FALSE,200,1050,8,"eDP/DP/HDMI/MIPI-DSI",NA,NA,NA,FALSE,"2","1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2",6,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 4000 Series","Mobile","4405Y","Launched",2015,14,161,2,4,1.5,3.3,2,4,6,FALSE,TRUE,16,"LPDDR3-1866, DDR3L-1600",2,29.8,FALSE,300,800,16,"eDP/DP/HDMI/DVI","4096x2304@24Hz","3840x2160@60Hz","3840x2160@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",10,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 4000 Series","Mobile","4415Y","Launched",2017,14,161,2,4,1.6,3.3,2,4,6,FALSE,TRUE,16,"LPDDR3-1866, DDR3L-1600",2,29.8,FALSE,300,850,16,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",10,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 4000 Series","Mobile","4410Y","Launched",2017,14,161,2,4,1.5,3.3,2,4,6,FALSE,TRUE,16,"LPDDR3-1866, DDR3L-1600",2,29.8,FALSE,300,850,16,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",10,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 4000 Series","Mobile","4415U","Launched",2017,14,161,2,4,2.3,3.3,2,4,15,FALSE,TRUE,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1,FALSE,300,950,32,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"2","1x4, 2x2, 1x2+2x1 and 4x1",10,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 3000 Series","Mobile","3805U","Launched",2015,14,161,2,2,1.9,3.3,2,2,15,FALSE,TRUE,16,"DDR3L 1333/1600 LPDDR3 1333/1600",2,25.6,FALSE,100,800,8,"eDP/DP/HDMI",NA,NA,NA,TRUE,"2","4x1 2x4",12,105,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 3000 Series","Mobile","3561Y","Launched",2013,22,161,2,2,1.2,3.3,2,2,11.5,FALSE,TRUE,16,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6,FALSE,200,850,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","4x1, 2x4",12,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 3000 Series","Mobile","3560M","Launched",2014,22,134,2,2,2.4,3.3,2,2,37,FALSE,TRUE,32,"DDR3L 1333/1600",2,25.6,FALSE,400,1100,8,"eDP/DP/HDMI/VGA",NA,NA,NA,FALSE,"2","1x16 or 2x8 or 1x8 2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 3000 Series","Mobile","3560Y","Launched",2013,22,303,2,2,1.2,3.3,2,2,11.5,FALSE,TRUE,16,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6,FALSE,200,850,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","4x1, 2x4",12,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 3000 Series","Mobile","3558U","Launched",2013,22,161,2,2,1.7,3.3,2,2,15,FALSE,TRUE,16,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6,FALSE,200,1000,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","4x1, 1x4, 1x2",10,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 3000 Series","Mobile","3556U","Launched",2013,22,303,2,2,1.7,3.3,2,2,15,FALSE,TRUE,16,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6,FALSE,200,1000,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","4x1, 1x4, 1x2",10,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 3000 Series","Mobile","3550M","Launched",2013,22,134,2,2,2.3,3.3,2,2,37,FALSE,TRUE,32,"DDR3L 1333/1600",2,25.6,FALSE,400,1100,8,"eDP/DP/HDMI/VGA",NA,NA,NA,FALSE,"2","1x16 or 2x8 or 1x8 2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 2000 Series","Mobile","2117U","Launched",2012,22,134,2,2,1.8,3.3,2,2,17,FALSE,TRUE,32,"DDR3/L/-RS 1333/1600",2,25.6,FALSE,350,1000,8,"eDP/DP/HDMI/SDVO/CRT",NA,NA,NA,FALSE,"2","1x16, 2x8, 1x8 2x4",1,105,FALSE,"Yes",TRUE,"64-bit","SSE4.x",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 2000 Series","Mobile","2030M","Launched",2013,22,134,2,2,2.5,3.3,2,2,35,FALSE,TRUE,32,"DDR3/L/-RS 1333/1600",2,25.6,FALSE,650,1100,8,"eDP/DP/HDMI/SDVO/CRT",NA,NA,NA,FALSE,"2","1x16, 2x8, 1x8 2x4",1,90,FALSE,"Yes",TRUE,"64-bit","SSE4.x",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 2000 Series","Mobile","2127U","Launched",2013,22,134,2,2,1.9,3.3,2,2,17,FALSE,TRUE,32,"DDR3/L/-RS 1333/1600",2,25.6,FALSE,350,1100,8,"eDP/DP/HDMI/SDVO/CRT",NA,NA,NA,FALSE,"2","1x16, 2x8, 1x8 2x4",1,105,FALSE,"Yes",TRUE,"64-bit","SSE4.x",TRUE,TRUE,TRUE,TRUE
"Intel® Pentium® Processor 2000 Series","Mobile","2129Y","Launched",2013,22,303,2,2,1.1,3.3,2,2,10,FALSE,TRUE,32,"DDR3/L/-RS 1333/1600",2,25.6,FALSE,350,850,8,"eDP/DP/HDMI/SDVO/CRT",NA,NA,NA,FALSE,NA,NA,16,105,FALSE,"Yes",TRUE,"64-bit","SSE4.x",TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile","753","End of Interactive Support",2013,90,303,1,4,1.2,3.3,2,3.2,5.5,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,FALSE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile","733","End of Interactive Support",2013,90,303,1,4,1.1,3.3,2,3.2,5,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,FALSE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile","723","End of Interactive Support",2013,90,303,1,4,1,3.3,2,3.2,5,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,FALSE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,FALSE
"Legacy Intel® Pentium® Processor","Mobile","713","End of Interactive Support",2013,130,303,1,4,1.1,3.3,1,3.2,7,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,FALSE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,FALSE
"Legacy Intel® Pentium® Processor","Mobile","778","End of Interactive Support",2013,90,303,1,4,1.6,3.3,2,3.2,7.5,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,FALSE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile","738","End of Interactive Support",2004,90,303,1,4,1.4,3.3,2,3.2,7.5,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,FALSE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile","758","End of Interactive Support",2013,90,303,1,4,1.5,3.3,2,3.2,7.5,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,FALSE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Desktop","571","End of Interactive Support",2005,90,303,1,4,3.8,3.3,1,6.4,115,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,72.8,TRUE,"No",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile",NA,"End of Interactive Support",2013,32,303,1,4,0.8,3.3,0.5,0.8,5.9,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile","718","End of Interactive Support",2013,130,303,1,4,1.3,3.3,1,3.2,12,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,FALSE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,FALSE
"Legacy Intel® Pentium® Processor","Desktop","570","End of Interactive Support",2004,90,303,1,4,3.8,3.3,1,6.4,115,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,72.8,TRUE,"No",FALSE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile",NA,"End of Interactive Support",2013,32,303,1,4,0.75,3.3,0.5,0.8,24.6,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile","780","End of Interactive Support",2013,90,303,1,4,2.26,3.3,2,4.264,27,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,FALSE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Desktop","561","End of Interactive Support",2005,90,303,1,4,3.6,3.3,1,6.4,115,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,72.8,TRUE,"No",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile",NA,"End of Interactive Support",2013,32,303,1,4,0.7,3.3,0.5,0.8,7,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Server",NA,"End of Interactive Support",2001,130,303,1,4,0.8,3.3,0.5,1.064,10.63,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile","770","End of Interactive Support",2013,90,303,1,4,2.13,3.3,2,4.264,27,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,FALSE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Desktop","560J","End of Interactive Support",2013,90,303,1,4,3.6,3.3,1,6.4,115,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,72.8,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile",NA,"End of Interactive Support",2013,32,303,1,4,0.4,3.3,0.25,0.8,10.1,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Server",NA,"End of Interactive Support",2001,130,303,1,4,0.933,3.3,0.5,1.064,11.61,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Mobile","765","End of Interactive Support",2013,90,303,1,4,2.1,3.3,2,3.2,7.5,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,FALSE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Desktop","560","End of Interactive Support",2013,90,303,1,4,3.6,3.3,1,6.4,115,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,72.8,TRUE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,FALSE
"Legacy Intel® Pentium® Processor","Mobile","760","End of Interactive Support",2004,90,303,1,4,2,3.3,2,4.264,27,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,100,FALSE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Server",NA,"End of Interactive Support",2013,130,303,1,4,1.13,3.3,0.5,1.064,28.7,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,69,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Desktop",NA,"End of Interactive Support",2013,90,303,1,4,4,3.3,2,8.528,47,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,83,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Desktop","551","End of Interactive Support",2005,90,303,1,4,3.4,3.3,1,6.4,84,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,67.7,TRUE,"No",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Pentium® Processor","Desktop",NA,"End of Interactive Support",2013,130,303,1,4,2.8,3.3,0.5,3.2,68.4,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,75,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
